[2025-10-04 18:16:48,428: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-04 18:17:25,234: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-04 18:17:25,256: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-04 18:18:08,737: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-04 18:18:08,739: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-04 18:20:26,857: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-04 18:20:26,859: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-04 18:26:00,335: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-04 18:26:00,342: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-04 19:18:00,767: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-04 19:18:00,778: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-04 19:19:08,537: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-04 19:19:08,540: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-04 19:20:23,301: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-04 19:20:23,304: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-04 19:25:19,106: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-04 19:25:19,109: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-04 19:25:55,897: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-04 19:25:55,899: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-04 19:26:07,312: INFO: common: YAML file loaded successfully: D:\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml]
[2025-10-04 19:28:17,788: INFO: common: YAML file loaded successfully: D:\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml]
[2025-10-04 19:28:17,798: INFO: common: YAML file loaded successfully: D:\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml]
[2025-10-04 19:28:17,804: INFO: common: created directory at: artifacts]
[2025-10-04 19:28:17,807: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-04 19:28:17,809: INFO: 3044097579: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-04 19:28:49,560: INFO: 3044097579: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-05 11:30:28,955: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-10-05 11:30:28,989: INFO: common: YAML file loaded successfully: D:\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml]
[2025-10-05 11:30:29,015: INFO: common: YAML file loaded successfully: D:\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml]
[2025-10-05 11:30:29,019: INFO: common: created directory at: artifacts]
[2025-10-05 11:30:29,020: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-05 11:30:29,022: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-05 11:31:10,067: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-05 11:31:10,926: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
